model,N,prompt_id,gamma,arm,step_locus,baseline_outcome,outcome,p_correct,delta_p,needle_rank,needle_mass,prompt_hash
meta-llama/Llama-3.2-1B,65536,41,1,baseline,all,WRONG_NEEDLE,WRONG_NEEDLE,0.00161,0.0,1336.2,0.0056,4abff87ba88a
meta-llama/Llama-3.2-1B,65536,41,4,needle,all,WRONG_NEEDLE,CORRECT,0.02216,0.02056,1336.2,0.0056,4abff87ba88a
meta-llama/Llama-3.2-1B,65536,41,16,needle,all,WRONG_NEEDLE,CORRECT,0.63439,0.63278,1336.2,0.0056,4abff87ba88a
meta-llama/Llama-3.2-1B,65536,41,16,competitor,all,WRONG_NEEDLE,WRONG_NEEDLE,0.00084,-0.00077,1336.2,0.0056,4abff87ba88a
meta-llama/Llama-3.2-1B,65536,42,1,baseline,all,WRONG_NEEDLE,WRONG_NEEDLE,0.00987,0.0,375.3,0.0050,f58624ac1567
meta-llama/Llama-3.2-1B,65536,42,4,needle,all,WRONG_NEEDLE,CORRECT,0.53730,0.52743,375.3,0.0050,f58624ac1567
meta-llama/Llama-3.2-1B,65536,42,16,needle,all,WRONG_NEEDLE,CORRECT,0.92252,0.91265,375.3,0.0050,f58624ac1567
meta-llama/Llama-3.2-1B,65536,42,16,competitor,all,WRONG_NEEDLE,WRONG_NEEDLE,0.00024,-0.00963,375.3,0.0050,f58624ac1567
meta-llama/Llama-3.2-1B,65536,43,1,baseline,all,WRONG_NEEDLE,WRONG_NEEDLE,0.00119,0.0,2012.1,0.0028,845ae448bf13
meta-llama/Llama-3.2-1B,65536,43,4,needle,all,WRONG_NEEDLE,WRONG_NEEDLE,0.00741,0.00622,2012.1,0.0028,845ae448bf13
meta-llama/Llama-3.2-1B,65536,43,16,needle,all,WRONG_NEEDLE,CORRECT,0.41288,0.41170,2012.1,0.0028,845ae448bf13
meta-llama/Llama-3.2-1B,65536,43,16,competitor,all,WRONG_NEEDLE,WRONG_NEEDLE,0.00087,-0.00032,2012.1,0.0028,845ae448bf13
meta-llama/Llama-3.2-1B,65536,44,1,baseline,all,WRONG_NEEDLE,WRONG_NEEDLE,0.00148,0.0,1002.6,0.0090,0c5b65d2898d
meta-llama/Llama-3.2-1B,65536,44,4,needle,all,WRONG_NEEDLE,WRONG_NEEDLE,0.05545,0.05397,1002.6,0.0090,0c5b65d2898d
meta-llama/Llama-3.2-1B,65536,44,16,needle,all,WRONG_NEEDLE,CORRECT,0.50745,0.50597,1002.6,0.0090,0c5b65d2898d
meta-llama/Llama-3.2-1B,65536,44,16,competitor,all,WRONG_NEEDLE,WRONG_NEEDLE,0.00004,-0.00144,1002.6,0.0090,0c5b65d2898d
meta-llama/Llama-3.2-1B,65536,45,1,baseline,all,WRONG_NEEDLE,WRONG_NEEDLE,0.00665,0.0,1636.2,0.0026,107d414c6315
meta-llama/Llama-3.2-1B,65536,45,4,needle,all,WRONG_NEEDLE,CORRECT,0.20866,0.20202,1636.2,0.0026,107d414c6315
meta-llama/Llama-3.2-1B,65536,45,16,needle,all,WRONG_NEEDLE,CORRECT,0.87938,0.87273,1636.2,0.0026,107d414c6315
meta-llama/Llama-3.2-1B,65536,45,16,competitor,all,WRONG_NEEDLE,WRONG_NEEDLE,0.00385,-0.00280,1636.2,0.0026,107d414c6315
